,edit_history_tweet_ids,id,text
0,['1452005210189086732'],1452005210189086732,@Marchen_Neel @Jacob_Friberg Ja pudsigt hvordan kommissionen på rekordtid afdækket STM blander sig i alt og alle detaljer i minkskandalen og bl.a via sms udsender div. ordre. Men når det kommer til officiel redegørelse til FT så er svaret fra STM “Vi anede ikke noget om noget som helst” #heltsikkert #dkpol
1,['1451512804570238986'],1451512804570238986,RT @QvortrupHenrik: Minkkommissionen har afsløret en regeringstop i panisk angst for at blive afsløret. Heldigvis ser det ud til at ske nu…
2,['1451511447385743366'],1451511447385743366,"RT @Jacob_Friberg: Allerede 30. september 2020 overvejede Statsministeriet at aflive alle mink.

'Tilsyneladende meget tæt på, at STM sendt…"
3,['1451510935630327811'],1451510935630327811,"RT @ThDanielsen: Der var ellers ikke grænser for, hvor pludseligt og akut situationen opstod, så ⁦@regeringDK⁩ bare måtte udrydde hele erhv…"
4,['1451510921193525248'],1451510921193525248,"RT @MadsBroberg: E-mail fra den 30. september 2020 - altså godt en måned  FØR Cluster 5-debatten:

»Tilsyneladende meget tæt på, at STM (St…"
5,['1451169034544746498'],1451169034544746498,RT @QvortrupHenrik: https://t.co/nXBYzuMBzA
6,['1451144575486251018'],1451144575486251018,"@RabjergMadsen @Astridkrag @berlingske “Og Astrid Krag? Hun har ikke ønsket at stille op til interview om denne sag. Det var ellers et af Astrid Krags andre kritikpunkter af Thyra Frank, at hun ikke stod frem, når medier havde kritiske spørgsmål”. #dkpol https://t.co/q97lM44TBz"
7,['1451101225517260808'],1451101225517260808,@BroennumKom Du har da vist ikke læst mit tweet. Skriver netop at antallet af lovforslag ikke er lig med udvikling.
8,['1451100218506760196'],1451100218506760196,RT @rikkestenpigen: Hvorfor er det her ikke BREAKING på samtlige #dkmedier ? 🤯🤯Hvorfor står der ikke en kødrand af journalister ved Statsmi…
9,['1451100022041350145'],1451100022041350145,"RT @venstredk: Mette Frederiksens forklaringer falder fra hinanden dag for dag. Den uvildige advokatundersøgelse, som har haft adgang til i…"
